token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
100019,HINDUNILVR28JUL262040PE,HINDUNILVR,28JUL2026,204000.000000,300,OPTSTK,NFO,5.000000,12001
100120,CHOLAFIN30JUN261240PE,CHOLAFIN,30JUN2026,124000.000000,625,OPTSTK,NFO,5.000000,18751
100125,CHOLAFIN30JUN261360CE,CHOLAFIN,30JUN2026,136000.000000,625,OPTSTK,NFO,5.000000,18751
100153,CHOLAFIN30JUN261600PE,CHOLAFIN,30JUN2026,160000.000000,625,OPTSTK,NFO,5.000000,18751
100181,CHOLAFIN30JUN261800CE,CHOLAFIN,30JUN2026,180000.000000,625,OPTSTK,NFO,5.000000,18751
100250,HINDUNILVR28JUL262520CE,HINDUNILVR,28JUL2026,252000.000000,300,OPTSTK,NFO,5.000000,12001
100287,HDFCLIFE28JUL26525PE,HDFCLIFE,28JUL2026,52500.000000,1100,OPTSTK,NFO,5.000000,44001
100349,HINDZINC30JUN26650PE,HINDZINC,30JUN2026,65000.000000,1225,OPTSTK,NFO,5.000000,36751
100357,HINDZINC30JUN26670PE,HINDZINC,30JUN2026,67000.000000,1225,OPTSTK,NFO,5.000000,36751
100360,HINDZINC30JUN26710CE,HINDZINC,30JUN2026,71000.000000,1225,OPTSTK,NFO,5.000000,36751
100361,HINDZINC30JUN26710PE,HINDZINC,30JUN2026,71000.000000,1225,OPTSTK,NFO,5.000000,36751
100396,HINDZINC28JUL26540PE,HINDZINC,28JUL2026,54000.000000,1225,OPTSTK,NFO,5.000000,36751
100410,HINDZINC28JUL26640PE,HINDZINC,28JUL2026,64000.000000,1225,OPTSTK,NFO,5.000000,36751
100413,HINDZINC28JUL26680CE,HINDZINC,28JUL2026,68000.000000,1225,OPTSTK,NFO,5.000000,36751
100654,CIPLA30JUN261220CE,CIPLA,30JUN2026,122000.000000,375,OPTSTK,NFO,5.000000,17001
100672,HDFCLIFE25AUG26610PE,HDFCLIFE,25AUG2026,61000.000000,1100,OPTSTK,NFO,5.000000,44001
100683,HDFCLIFE25AUG26650CE,HDFCLIFE,25AUG2026,65000.000000,1100,OPTSTK,NFO,5.000000,44001
100688,HDFCLIFE25AUG26670PE,HDFCLIFE,25AUG2026,67000.000000,1100,OPTSTK,NFO,5.000000,44001
100690,HDFCLIFE25AUG26680PE,HDFCLIFE,25AUG2026,68000.000000,1100,OPTSTK,NFO,5.000000,44001
100694,HDFCLIFE25AUG26700PE,HDFCLIFE,25AUG2026,70000.000000,1100,OPTSTK,NFO,5.000000,44001
100737,CIPLA30JUN261260PE,CIPLA,30JUN2026,126000.000000,375,OPTSTK,NFO,5.000000,17001
100757,HYUNDAI28JUL261640CE,HYUNDAI,28JUL2026,164000.000000,275,OPTSTK,NFO,5.000000,13751
100761,HYUNDAI28JUL261720CE,HYUNDAI,28JUL2026,172000.000000,275,OPTSTK,NFO,5.000000,13751
100764,HYUNDAI28JUL261760PE,HYUNDAI,28JUL2026,176000.000000,275,OPTSTK,NFO,5.000000,13751
100812,CIPLA30JUN261320CE,CIPLA,30JUN2026,132000.000000,375,OPTSTK,NFO,5.000000,17001
100820,CIPLA30JUN261360CE,CIPLA,30JUN2026,136000.000000,375,OPTSTK,NFO,5.000000,17001
100823,CIPLA30JUN261380PE,CIPLA,30JUN2026,138000.000000,375,OPTSTK,NFO,5.000000,17001
