date,source,dii_net,dii_buy,dii_sell,fii_net,fii_buy,fii_sell
2026-06-24,NSE_FIIDII_TRADEREACT,3637.26,17274.01,13636.75,-1843.4,16744.73,18588.13
2026-06-25,NSE_FIIDII_TRADEREACT,3637.26,17274.01,13636.75,-1843.4,16744.73,18588.13
2026-07-14,NSE_FIIDII_TRADEREACT,2927.71,20420.87,17493.16,-739.69,12763.43,13503.12
2026-07-15,NSE_FIIDII_TRADEREACT,704.93,16226.42,15521.49,-735.83,13207.46,13943.29
2026-07-16,NSE_FIIDII_TRADEREACT,2986.41,19236.8,16250.39,-4205.56,13576.08,17781.64
2026-07-18,NSE_FIIDII_TRADEREACT,1017.89,17180.08,16162.19,-376.41,14393.77,14770.18
2026-07-20,NSE_FIIDII_TRADEREACT,1017.89,17180.08,16162.19,-376.41,14393.77,14770.18
2026-07-21,NSE_FIIDII_TRADEREACT,1312.03,16187.84,14875.81,-1121.04,13312.67,14433.71
2026-07-22,NSE_FIIDII_TRADEREACT,-656.88,14638.54,15295.42,1650.16,16327.88,14677.72
2026-07-23,NSE_FIIDII_TRADEREACT,-418.26,13665.69,14083.95,-819.2,12889.82,13709.02
2026-07-24,NSE_FIIDII_TRADEREACT,2947.14,16575.3,13628.16,-2999.23,11472.08,14471.31
2026-07-25,NSE_FIIDII_TRADEREACT,5453.55,18959.43,13505.88,-3892.77,11123.86,15016.63
2026-07-26,NSE_FIIDII_TRADEREACT,5453.55,18959.43,13505.88,-3892.77,11123.86,15016.63
2026-07-27,NSE_FIIDII_TRADEREACT,5453.55,18959.43,13505.88,-3892.77,11123.86,15016.63
2026-07-28,NSE_FIIDII_TRADEREACT,2329.14,15937.1,13607.96,-1688.23,11695.95,13384.18
2026-07-29,NSE_FIIDII_TRADEREACT,998.02,18176.22,17178.2,2981.87,17358.31,14376.44
2026-07-30,NSE_FIIDII_TRADEREACT,998.02,18176.22,17178.2,2981.87,17358.31,14376.44
