Symbol,Company,Sector
NIFTY,Nifty 50 Index,Index
BANKNIFTY,Bank Nifty Index,Index
FINNIFTY,Nifty Financial Services,Index
MIDCPNIFTY,Nifty Midcap Select,Index
NIFTYNEXT50,Nifty Next 50,Index
RELIANCE,Reliance Industries,Energy
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,Banking
INFY,Infosys,IT
ICICIBANK,ICICI Bank,Banking
HINDUNILVR,Hindustan Unilever,FMCG
SBIN,State Bank of India,Banking
BAJFINANCE,Bajaj Finance,Financial Services
BHARTIARTL,Bharti Airtel,Telecom
ITC,ITC Limited,FMCG
KOTAKBANK,Kotak Mahindra Bank,Banking
LT,Larsen & Toubro,Construction
AXISBANK,Axis Bank,Banking
ASIANPAINT,Asian Paints,Consumer Goods
MARUTI,Maruti Suzuki,Automobile
SUNPHARMA,Sun Pharmaceutical,Pharma
TITAN,Titan Company,Consumer Goods
ULTRACEMCO,UltraTech Cement,Cement
WIPRO,Wipro,IT
HCLTECH,HCL Technologies,IT
NESTLEIND,Nestle India,FMCG
TECHM,Tech Mahindra,IT
M&M,Mahindra and Mahindra,Automobile
NTPC,NTPC,Power
POWERGRID,Power Grid Corporation,Power
ADANIENT,Adani Enterprises,Diversified
ADANIPORTS,Adani Ports,Infrastructure
ONGC,Oil and Natural Gas Corporation,Energy
TATASTEEL,Tata Steel,Metals
JSWSTEEL,JSW Steel,Metals
BAJAJFINSV,Bajaj Finserv,Financial Services
HINDALCO,Hindalco Industries,Metals
COALINDIA,Coal India,Mining
BPCL,Bharat Petroleum,Energy
GRASIM,Grasim Industries,Cement
CIPLA,Cipla,Pharma
DRREDDY,Dr. Reddy's Laboratories,Pharma
EICHERMOT,Eicher Motors,Automobile
BRITANNIA,Britannia Industries,FMCG
DABUR,Dabur India,FMCG
TATACONSUM,Tata Consumer Products,FMCG
GODREJCP,Godrej Consumer Products,FMCG
MARICO,Marico,FMCG
PIDILITIND,Pidilite Industries,Chemicals
BERGEPAINT,Berger Paints,Consumer Goods
TATAPOWER,Tata Power,Power
TORNTPHARM,Torrent Pharmaceuticals,Pharma
AUROPHARMA,Aurobindo Pharma,Pharma
DIVISLAB,Divi's Laboratories,Pharma
LUPIN,Lupin,Pharma
BIOCON,Biocon,Pharma
APOLLOHOSP,Apollo Hospitals,Healthcare
FORTIS,Fortis Healthcare,Healthcare
MCDOWELLS,United Spirits Ltd,Consumer Goods
UNITDSPR,United Spirits,Consumer Goods
HAVELLS,Havells India,Electricals
ABB,ABB India,Engineering
SIEMENS,Siemens,Engineering
BOSCHLTD,Bosch,Auto Ancillary
CUMMINSIND,Cummins India,Engineering
WHIRLPOOL,Whirlpool of India,Consumer Goods
VOLTAS,Voltas,Electricals
BATAINDIA,Bata India,Consumer Goods
PAGEIND,Page Industries,Textiles
MPHASIS,Mphasis,IT
LTTS,L&T Technology Services,IT
PERSISTENT,Persistent Systems,IT
COFORGE,Coforge,IT
LTIM,LTIMindtree Ltd,IT
LTIM,LTIMindtree,IT
TATAELXSI,Tata Elxsi,IT
RINFRA,Reliance Infrastructure,Infrastructure
INDIGO,InterGlobe Aviation,Aviation
INDHOTEL,Indian Hotels,Hospitality
LEMONTRE,Lemon Tree Hotels,Hospitality
JUBLFOOD,Jubilant FoodWorks,Consumer Services
DMART,Avenue Supermarts,Retail
TRENT,Trent,Retail
VSTIND,VST Industries,FMCG
COLPAL,Colgate-Palmolive,FMCG
EMAMILTD,Emami,FMCG
JYOTHYLAB,Jyothy Laboratories,FMCG
RADICO,Radico Khaitan,Consumer Goods
BANKBARODA,Bank of Baroda,Banking
CANBK,Canara Bank,Banking
UNIONBANK,Union Bank of India,Banking
PNB,Punjab National Bank,Banking
FEDERALBNK,Federal Bank,Banking
BANDHANBNK,Bandhan Bank,Banking
IDFCFIRSTB,IDFC First Bank,Banking
RBLBANK,RBL Bank,Banking
YESBANK,Yes Bank,Banking
INDUSINDBK,IndusInd Bank,Banking
AUBANK,AU Small Finance Bank,Banking
LICHSGFIN,LIC Housing Finance,Financial Services
HDFCAMC,HDFC Asset Management,Financial Services
CHOLAFIN,Cholamandalam Investment,Financial Services
MFSL,Max Financial Services,Insurance
HDFCLIFE,HDFC Life Insurance,Insurance
SBILIFE,SBI Life Insurance,Insurance
ICICIGI,ICICI Lombard,Insurance
NIACL,New India Assurance,Insurance
STARHEALTH,Star Health Insurance,Insurance
SBICARD,SBI Cards,Financial Services
ABCAPITAL,Aditya Birla Capital,Financial Services
MUTHOOTFIN,Muthoot Finance,Financial Services
MANAPPURAM,Manappuram Finance,Financial Services
IIFL,IIFL Finance,Financial Services
RECLTD,REC Limited,Financial Services
PFC,Power Finance Corporation,Financial Services
IRFC,Indian Railway Finance,Financial Services
NALCO,National Aluminium,Metals
SAIL,Steel Authority of India,Metals
VEDL,Vedanta,Metals
HINDCOPPER,Hindustan Copper,Metals
NMDC,NMDC,Mining
GAIL,GAIL India,Energy
IOC,Indian Oil Corporation,Energy
HPCL,Hindustan Petroleum,Energy
MGL,Mahanagar Gas,Energy
IGL,Indraprastha Gas,Energy
PETRONET,Petronet LNG,Energy
ATGL,Adani Total Gas,Energy
SJVN,SJVN,Power
NHPC,NHPC,Power
IRCTC,Indian Railway Catering,Consumer Services
CONCOR,Container Corporation,Logistics
BLUEDART,Blue Dart Express,Logistics
MAHINDCIE,Mahindra CIE Automotive,Auto Ancillary
MOTHERSON,Samvardhana Motherson,Auto Ancillary
MINDACORP,Minda Corp Ltd,Auto Ancillary
EXIDEIND,Exide Industries,Auto Ancillary
AMARA,Amara Raja Energy,Auto Ancillary
BALKRISIND,Balkrishna Industries,Tyres
APOLLOTYRE,Apollo Tyres,Tyres
MRF,MRF,Tyres
CEATLTD,CEAT,Tyres
JKTYRE,JK Tyre,Tyres
OBEROIRLTY,Oberoi Realty,Real Estate
DLF,DLF,Real Estate
GODREJPROP,Godrej Properties,Real Estate
PRESTIGE,Prestige Estates,Real Estate
PHOENIXLTD,Phoenix Mills,Real Estate
SUNTV,Sun TV Network,Media
ZEEL,Zee Entertainment,Media
NETWORK18,Network18 Media,Media
PVRINOX,PVR INOX,Media
NAZARA,Nazara Technologies,Media
AFFLE,Affle India,Technology
NAUKRI,Info Edge,Technology
JUSTDIAL,Just Dial,Technology
INDIAMART,IndiaMart InterMESH,Technology
POLICYBZR,PB Fintech,Technology
PAYTM,One97 Communications,Technology
ZOMATO,Zomato,Consumer Services
SWIGGY,Bundl Technologies,Consumer Services
CARTRADE,CarTrade Tech,Technology
IRCTC,IRCTC,Consumer Services
LICI,Life Insurance Corporation,Insurance
LODHA,Macrotech Developers,Real Estate
NYKAA,FSN E-Commerce,Consumer Services
DELHIVERY,Delhivery,Logistics
CAMPUS,Campus Activewear,Consumer Goods
SULA,Sula Vineyards,Consumer Goods
MEDANTA,Global Health,Healthcare
YATHARTH,Yatharth Hospital,Healthcare
KIMS,Krishna Institute of Medical Sciences,Healthcare
MAXHEALTH,Max Healthcare,Healthcare
RAINBOW,Rainbow Children Medicare,Healthcare
APTUS,Aptus Value Housing Finance,Financial Services
HOMEFIRST,Home First Finance,Financial Services
FIVESTAR,Five-Star Business Finance,Financial Services
UGROCAP,Ugro Capital,Financial Services
CREDITACC,CreditAccess Grameen,Financial Services
INDIAGRID,IndiGrid,Infrastructure
POWERMECH,Power Mech Projects,Infrastructure
KNR,KNR Constructions,Construction
PNC,PNC Infratech,Construction
ASHOKA,Ashoka Buildcon,Construction
GPPL,Gujarat Pipavav Port,Infrastructure
APLAPOLLO,APL Apollo Tubes,Metals
RATNAMANI,Ratnamani Metals,Metals
JINDALSAW,Jindal SAW,Metals
JSL,Jindal Stainless,Metals
KAJARIACER,Kajaria Ceramics,Consumer Goods
CERA,Cera Sanitaryware,Consumer Goods
ASTRAL,Astral,Chemicals
PIDILITIND,Pidilite Industries,Chemicals
SUMICHEM,Sumitomo Chemical India,Chemicals
AAVAS,AAVAS Financiers,Financial Services
DCBBANK,DCB Bank,Banking
UJJIVAN,Ujjivan Financial Services,Banking
SURYODAY,Suryoday Small Finance Bank,Banking
EQUITASBNK,Equitas Small Finance Bank,Banking
